ID,Surname,First Name,Department,Staff or Student,Date of first journey,Destination,Estimated CO2eq emission (please enter in kg),Travel mode
2402,Legault,Marie,Mathematics and Statistics,Staff,2020-10-06,Delhi,1976,Flight
2661,Dumire,Arthur,Meteorology,Staff,2020-10-06,Amsterdam,4.91227905,Train
1791,Bourne,Marta,Meteorology,Staff,2020-10-06,Prague,157.2156132,Flight
4650,Cunningham,Frank,Meteorology,Staff,2020-10-06,Prague,7.90297665,Train
4992,Graves,Dennis,Mathematics and Statistics,Student,2020-10-06,Brussels,52.1993256,Flight
309,Bryan,Wendy,Computer Science,Staff,2020-10-06,Chicago,1928,Flight
3256,Shaw,Robert,Computer Science,Student,2020-10-07,Cologne,79.9764342,Flight
3508,Kassin,Ramon,Mathematics and Statistics,Student,2020-10-07,Belgrade,11.43230845,Train
2112,Belcher,Arthur,Meteorology,Staff,2020-10-07,Copenhagen,147.5835576,Flight
2473,Westmoreland,Donald,Computer Science,Student,2020-10-07,Monaco,8.73449905,Train
4175,Thomas,Florence,Meteorology,Staff,2020-10-07,Tokyo,2893,Flight
3009,Sparks,Mildred,Meteorology,Staff,2020-10-08,Madrid,10.66121905,Train
3678,Cook,Janice,Meteorology,Staff,2020-10-08,Madrid,191.3733168,Flight
912,Fung,Matthew,Meteorology,Staff,2020-10-08,Monaco,158.0826528,Flight
3695,Schneider,Joseph,Computer Science,Staff,2020-10-08,Vaduz,7.80235905,Train
502,Johnson,Sandra,Meteorology,Staff,2020-10-08,Helsinki,279.3243444,Flight
4999,Bell,Carolyn,Meteorology,Staff,2020-10-08,Vienna,12.12855905,Train
2170,Reyes,Rob,Mathematics and Statistics,Staff,2020-10-08,Rotterdam,4.40548925,Train
271,Cronin,Troy,Meteorology,Staff,2020-10-08,New York,1687,Flight
2697,Brannen,William,Mathematics and Statistics,Student,2020-10-08,Prague,7.90297665,Train
1853,Boyer,Lenora,Meteorology,Staff,2020-10-09,Accra,1494,Flight
1683,Schneeman,Benjamin,Meteorology,Staff,2020-10-09,Brussels,3.95337905,Train
3478,Walker,Stacey,Meteorology,Student,2020-10-09,Warsaw,221.6075208,Flight
594,Medina,Allen,Computer Science,Student,2020-10-09,Rome,10.31333905,Train
3753,Mitchell,Paul,Meteorology,Staff,2020-10-09,Lisbon,13.23017905,Train
1744,Tuholski,Erin,Meteorology,Staff,2020-10-10,Warsaw,221.6075208,Flight
2607,Vivier,Fred,Meteorology,Student,2020-10-10,Berlin,144.5163414,Flight
4624,Cronin,Troy,Meteorology,Staff,2020-10-10,Sydney,5063,Flight
4227,Rivera,Keesha,Meteorology,Student,2020-10-10,Budapest,224.7109818,Flight
1764,Duhamel,Dorthy,Meteorology,Staff,2020-10-11,Belfast,80.0851686,Flight
360,Bell,Carolyn,Meteorology,Staff,2020-10-11,Oslo,12.54779905,Train
4136,Rocha,John,Mathematics and Statistics,Student,2020-10-11,Copenhagen,147.5835576,Flight
143,Daniel,Marion,Meteorology,Student,2020-10-11,Rotterdam,55.1004198,Flight
3900,Blakeman,Brian,Computer Science,Staff,2020-10-11,Brussels,52.1993256,Flight
3313,Duncan,Vanessa,Meteorology,Staff,2020-10-11,Barcelona,8.94938185,Train
2146,Rivers,Harvey,Mathematics and Statistics,Staff,2020-10-11,Monaco,158.0826528,Flight
1406,Valenzuela,Hattie,Meteorology,Staff,2020-10-11,Tokyo,2893,Flight
564,Chapman,Ronald,Meteorology,Staff,2020-10-12,Berlin,7.68193905,Train
4279,Denn,Errol,Meteorology,Staff,2020-10-13,Warsaw,9.58867825,Train
2173,Shams,Scott,Meteorology,Student,2020-10-13,Monaco,158.0826528,Flight
2637,Bosworth,Teresa,Meteorology,Staff,2020-10-13,Vaduz,141.8297316,Flight
1822,Dickman,Richard,Meteorology,Staff,2020-10-13,Madrid,191.3733168,Flight
658,Loguidice,Courtney,Meteorology,Student,2020-10-13,Andorra La Vella,168.8791902,Flight
620,Duncan,Vanessa,Meteorology,Staff,2020-10-13,Cologne,79.9764342,Flight
2756,Jones,Terrance,Mathematics and Statistics,Student,2020-10-14,Madrid,191.3733168,Flight
1326,Williamson,Diane,Meteorology,Staff,2020-10-14,Warsaw,9.58867825,Train
4889,Byrd,Margie,Meteorology,Staff,2020-10-14,Luxembourg,4.98809905,Train
3932,Hasberry,Gerald,Meteorology,Student,2020-10-14,Milan,148.364331,Flight
2024,Manylath,Victoria,Meteorology,Student,2020-10-14,Copenhagen,147.5835576,Flight
1916,White,Vincent,Meteorology,Staff,2020-10-14,Rome,221.2103382,Flight
1008,Relyea,Robert,Meteorology,Staff,2020-10-14,Cape Town,2893,Flight
4677,Gladney,Jose,Meteorology,Staff,2020-10-14,Barcelona,8.94938185,Train
4286,Mcelroy,Sybil,Mathematics and Statistics,Student,2020-10-14,Amsterdam,4.91227905,Train
4419,Ray,Timothy,Mathematics and Statistics,Staff,2020-10-15,Belgrade,11.43230845,Train
3656,Martinez,Georgia,Meteorology,Staff,2020-10-15,Brussels,3.95337905,Train
1122,Vinson,Tina,Computer Science,Student,2020-10-15,Kigali,1976,Flight
3952,Martin,Bernard,Meteorology,Student,2020-10-15,Andorra La Vella,10.16615905,Train
2703,Maxwell,Margaret,Meteorology,Staff,2020-10-15,Rotterdam,4.40548925,Train
853,Cook,Janice,Meteorology,Staff,2020-10-16,Budapest,10.00140665,Train
264,Feather,James,Meteorology,Student,2020-10-16,Vienna,192.2462124,Flight
1056,Estrada,Patricia,Meteorology,Staff,2020-10-16,Paris,4.34139905,Train
4112,Grimm,Isabel,Meteorology,Staff,2020-10-16,Tokyo,2893,Flight
1550,Guerra,Terri,Meteorology,Student,2020-10-16,Paris,56.23458,Flight
4186,Glass,Stephanie,Meteorology,Staff,2020-10-16,Barcelona,175.3229112,Flight
2002,Harp,Carrie,Meteorology,Staff,2020-10-17,Rotterdam,4.40548925,Train
910,Obrien,Beatrice,Meteorology,Staff,2020-10-17,Cologne,79.9764342,Flight
4347,Heins,Paul,Meteorology,Staff,2020-10-17,Monaco,158.0826528,Flight
1876,Delgado,Gary,Mathematics and Statistics,Student,2020-10-17,Budapest,224.7109818,Flight
3449,Law,Howard,Meteorology,Staff,2020-10-18,Vienna,12.12855905,Train
1053,Rossi,Robert,Meteorology,Student,2020-10-18,Stockholm,221.0140122,Flight
4631,Croyle,Norma,Mathematics and Statistics,Student,2020-10-18,Rome,10.31333905,Train
4871,Waldron,Mark,Mathematics and Statistics,Student,2020-10-19,Vaduz,141.8297316,Flight
2421,Maki,Lashawnda,Meteorology,Staff,2020-10-19,Warsaw,9.58867825,Train
1688,Green,Wendy,Meteorology,Staff,2020-10-19,Lisbon,13.23017905,Train
4701,Risbeck,Albert,Mathematics and Statistics,Staff,2020-10-19,Lisbon,240.2479194,Flight
4860,Schneider,Joseph,Computer Science,Staff,2020-10-19,Chicago,1928,Flight
2088,Wing,Kenny,Meteorology,Staff,2020-10-19,Cologne,79.9764342,Flight
4447,Ryan,David,Meteorology,Staff,2020-10-20,Warsaw,9.58867825,Train
3966,Husted,Estelle,Meteorology,Student,2020-10-20,Amsterdam,4.91227905,Train
526,Simmons,Catherine,Meteorology,Staff,2020-10-20,Amsterdam,55.1004198,Flight
3071,Canfield,Maria,Meteorology,Staff,2020-10-20,Andorra La Vella,10.16615905,Train
2764,Gladney,Jose,Meteorology,Staff,2020-10-20,Dublin,72.5432298,Flight
643,Blakeman,Brian,Computer Science,Staff,2020-10-20,Belgrade,11.43230845,Train
2196,Lister,Carol,Mathematics and Statistics,Student,2020-10-21,Cape Town,2893,Flight
804,Scott,Reginald,Meteorology,Student,2020-10-21,Lisbon,240.2479194,Flight
4530,Scott,Thomas,Meteorology,Staff,2020-10-21,Brussels,52.1993256,Flight
830,Wint,Robert,Meteorology,Student,2020-10-22,Kigali,1976,Flight
4268,Barnett,Graham,Computer Science,Student,2020-10-22,Sydney,5063,Flight
2674,Kittrell,Phyllis,Meteorology,Student,2020-10-22,Amsterdam,55.1004198,Flight
4936,Medina,Allen,Computer Science,Student,2020-10-23,Belgrade,256.8752214,Flight
4393,Husted,Estelle,Meteorology,Student,2020-10-23,Prague,157.2156132,Flight
4515,Blakeman,Brian,Computer Science,Staff,2020-10-23,Nanjing,2820,Flight
4032,Wint,Robert,Meteorology,Student,2020-10-24,Lisbon,13.23017905,Train
455,Nesbitt,Jacalyn,Mathematics and Statistics,Staff,2020-10-24,Lisbon,13.23017905,Train
1715,Castellanos,Mary,Mathematics and Statistics,Student,2020-10-24,Rome,221.2103382,Flight
328,Simmons,Catherine,Meteorology,Staff,2020-10-24,Prague,7.90297665,Train
3509,Shae,Raymond,Meteorology,Staff,2020-10-24,Amsterdam,55.1004198,Flight
161,Ward,Donald,Meteorology,Student,2020-10-24,Berlin,7.68193905,Train
4610,Nesbitt,Jacalyn,Mathematics and Statistics,Staff,2020-10-25,Paris,4.34139905,Train
1239,Dinh,Terrence,Computer Science,Staff,2020-10-25,Rome,10.31333905,Train
2580,Standridge,Bryan,Walker Institute,Staff,2020-10-25,Zurich,6.76946765,Train
2087,Mcwhirter,Ellen,Mathematics and Statistics,Student,2020-10-26,Milan,148.364331,Flight
2888,Hernandez,Anne,Computer Science,Staff,2020-10-26,Paris,56.23458,Flight
3514,Perez,Wade,Meteorology,Staff,2020-10-26,Brussels,52.1993256,Flight
3771,Hanson,Lawrence,Meteorology,Student,2020-10-26,Accra,1494,Flight
4704,Williamson,Diane,Meteorology,Staff,2020-10-26,Cologne,4.88609885,Train
4206,Clark,Neil,Meteorology,Staff,2020-10-26,Copenhagen,147.5835576,Flight
2292,Hasberry,Gerald,Meteorology,Student,2020-10-27,Belgrade,11.43230845,Train
4939,Cunningham,Frank,Meteorology,Staff,2020-10-27,Cape Town,2893,Flight
1498,Williams,Anthony,Meteorology,Staff,2020-10-27,Zurich,6.76946765,Train
361,Walter,Barbara,Meteorology,Staff,2020-10-27,Copenhagen,147.5835576,Flight
2610,Griffith,Anna,Computer Science,Staff,2020-10-27,Accra,1494,Flight
2589,Menter,Susan,Computer Science,Staff,2020-10-27,Tokyo,2893,Flight
1772,Martin,Bernard,Meteorology,Student,2020-10-27,Rome,10.31333905,Train
2939,Burge,Betty,Meteorology,Student,2020-10-27,Amsterdam,4.91227905,Train
3676,Donaldson,Debra,Meteorology,Student,2020-10-28,Dublin,72.5432298,Flight
4312,Thomas,Florence,Meteorology,Staff,2020-10-28,Tokyo,2893,Flight
2893,Priebe,Alonzo,Meteorology,Staff,2020-10-28,Madrid,191.3733168,Flight
481,Shelton,Anthony,Mathematics and Statistics,Staff,2020-10-28,Copenhagen,147.5835576,Flight
3739,Jones,Stephen,Meteorology,Staff,2020-10-29,Luxembourg,4.98809905,Train
2716,Miller,Gary,Meteorology,Staff,2020-10-29,Lisbon,240.2479194,Flight
1357,Brown,Jimmy,Meteorology,Student,2020-10-29,Andorra La Vella,10.16615905,Train
1458,Cables,Bruce,Meteorology,Staff,2020-10-29,Jakarta,3544,Flight
1116,Medina,Allen,Computer Science,Student,2020-10-29,Toronto,1687,Flight
3296,Sparks,Mildred,Meteorology,Staff,2020-10-29,Madrid,10.66121905,Train
244,Perez,Cesar,Mathematics and Statistics,Staff,2020-10-30,Vaduz,141.8297316,Flight
2712,Colby,Timothy,Meteorology,Student,2020-10-30,Cologne,4.88609885,Train
4391,Fraley,Charles,Meteorology,Student,2020-10-31,Warsaw,221.6075208,Flight
3267,Oliver,Steven,Meteorology,Student,2020-10-31,Prague,7.90297665,Train
4776,Mcwhirter,Ellen,Mathematics and Statistics,Student,2020-10-31,Vienna,12.12855905,Train
1045,Branco,Charles,Meteorology,Staff,2020-10-31,Budapest,10.00140665,Train
2514,Blosser,Ruby,Meteorology,Staff,2020-10-31,Prague,7.90297665,Train
92,Reese,Horace,Meteorology,Staff,2020-10-31,Barcelona,8.94938185,Train
1706,Koonce,Marilyn,Meteorology,Staff,2020-11-02,Milan,7.89918565,Train
1722,Hoftiezer,Tommy,Meteorology,Staff,2020-11-02,Oslo,12.54779905,Train
2705,Brown,Jimmy,Meteorology,Student,2020-11-02,Copenhagen,147.5835576,Flight
488,Westmoreland,Donald,Computer Science,Student,2020-11-02,Toronto,1687,Flight
444,Lucas,Jeffery,Meteorology,Student,2020-11-03,Amsterdam,4.91227905,Train
2031,Risbeck,Albert,Mathematics and Statistics,Staff,2020-11-03,Delhi,1976,Flight
4478,Kassin,Ramon,Mathematics and Statistics,Student,2020-11-03,Berlin,144.5163414,Flight
1817,Shams,Scott,Meteorology,Student,2020-11-03,Cologne,79.9764342,Flight
163,Clark,Neil,Meteorology,Staff,2020-11-03,Rotterdam,4.40548925,Train
858,Torres,Edward,Meteorology,Student,2020-11-03,Cologne,79.9764342,Flight
2539,Vinciguerra,David,Mathematics and Statistics,Student,2020-11-04,Warsaw,9.58867825,Train
3996,Donaldson,Debra,Meteorology,Student,2020-11-04,Denver,2254,Flight
2268,Bell,Carolyn,Meteorology,Staff,2020-11-04,Accra,1494,Flight
2113,Torres,Edward,Meteorology,Student,2020-11-04,Zurich,119.0377572,Flight
4405,Kittrell,Phyllis,Meteorology,Student,2020-11-04,Denver,2254,Flight
1606,Veenstra,James,Meteorology,Student,2020-11-05,Cape Town,2893,Flight
1558,Reese,Horace,Meteorology,Staff,2020-11-05,Berlin,7.68193905,Train
2317,Tuggle,Donya,Meteorology,Staff,2020-11-05,Madrid,191.3733168,Flight
76,Rieben,Tyler,Meteorology,Student,2020-11-05,Monaco,158.0826528,Flight
1525,Hoftiezer,Tommy,Meteorology,Staff,2020-11-05,Andorra La Vella,10.16615905,Train
4724,Rocha,John,Mathematics and Statistics,Student,2020-11-05,Paris,4.34139905,Train
4709,Carpenter,Arthur,Mathematics and Statistics,Student,2020-11-05,Vienna,192.2462124,Flight
340,Estrada,Patricia,Meteorology,Staff,2020-11-06,Milan,148.364331,Flight
3206,Jones,Terrance,Mathematics and Statistics,Student,2020-11-06,Monaco,158.0826528,Flight
3105,Longfellow,Edward,Meteorology,Student,2020-11-07,Toronto,1687,Flight
2142,Anderson,Bea,Mathematics and Statistics,Staff,2020-11-07,Toronto,1687,Flight
2564,Bozeman,Casey,Meteorology,Student,2020-11-07,Oslo,182.4827694,Flight
1303,Doctor,Amy,Meteorology,Staff,2020-11-07,Berlin,7.68193905,Train
194,Heins,Paul,Meteorology,Staff,2020-11-07,Monaco,8.73449905,Train
3623,Torres,Edward,Meteorology,Student,2020-11-08,Warsaw,9.58867825,Train
1666,Shams,Scott,Meteorology,Student,2020-11-08,Cologne,79.9764342,Flight
3693,Barber,Glen,Meteorology,Staff,2020-11-08,Copenhagen,9.34105905,Train
2846,Haas,Peter,Meteorology,Student,2020-11-08,Warsaw,221.6075208,Flight
4140,Weitkamp,Carie,Mathematics and Statistics,Staff,2020-11-08,Amsterdam,4.91227905,Train
1434,Brisbon,Sherri,Mathematics and Statistics,Student,2020-11-08,Paris,4.34139905,Train
2597,Rodriguez,Ashley,Computer Science,Student,2020-11-08,Kigali,1976,Flight
3119,Burge,Betty,Meteorology,Student,2020-11-09,Warsaw,9.58867825,Train
3219,Laverdiere,Walter,Meteorology,Student,2020-11-09,Toronto,1687,Flight
1859,Rybka,Donald,Meteorology,Staff,2020-11-09,Prague,157.2156132,Flight
2904,Guizar,Robert,Mathematics and Statistics,Student,2020-11-09,Budapest,224.7109818,Flight
3888,Lew,Brianne,Meteorology,Student,2020-11-09,Barcelona,8.94938185,Train
424,Maxwell,Margaret,Meteorology,Staff,2020-11-10,Vaduz,141.8297316,Flight
2784,Daniel,Marion,Meteorology,Student,2020-11-10,Barcelona,175.3229112,Flight
4863,Dickman,Richard,Meteorology,Staff,2020-11-10,Milan,148.364331,Flight
2857,Arana,Mildred,Meteorology,Staff,2020-11-10,Cologne,79.9764342,Flight
4246,Bethea,Linda,Meteorology,Student,2020-11-11,Rome,221.2103382,Flight
2677,Rubio,Robert,Meteorology,Student,2020-11-11,Dublin,72.5432298,Flight
1616,Spiegel,David,Computer Science,Student,2020-11-11,Vienna,192.2462124,Flight
2278,Perez,Cesar,Mathematics and Statistics,Staff,2020-11-11,Denver,2254,Flight
4971,Freeman,Marvin,Meteorology,Staff,2020-11-11,Budapest,10.00140665,Train
2975,Granger,David,Meteorology,Staff,2020-11-11,Luxembourg,77.173503,Flight
1871,Wint,Robert,Meteorology,Student,2020-11-11,Barcelona,175.3229112,Flight
940,Kosmowski,Mindy,Walker Institute,Staff,2020-11-11,Amsterdam,55.1004198,Flight
133,Kassin,Ramon,Mathematics and Statistics,Student,2020-11-11,Budapest,10.00140665,Train
2093,Stevens,Judy,Computer Science,Student,2020-11-12,Prague,157.2156132,Flight
783,Sweitzer,Guadalupe,Meteorology,Student,2020-11-12,Dublin,72.5432298,Flight
647,Stutzman,Anthony,Mathematics and Statistics,Student,2020-11-12,Cologne,4.88609885,Train
3227,Callahan,Rudy,Mathematics and Statistics,Staff,2020-11-12,Andorra La Vella,168.8791902,Flight
91,Zebell,Jeremiah,Meteorology,Student,2020-11-13,Paris,56.23458,Flight
4649,Pharis,Howard,Meteorology,Staff,2020-11-13,Vienna,192.2462124,Flight
214,Brice,Margot,Walker Institute,Student,2020-11-13,Kigali,1976,Flight
1438,Smoldt,Gary,Computer Science,Staff,2020-11-13,Delhi,1976,Flight
2962,Stevens,Judy,Computer Science,Student,2020-11-13,Andorra La Vella,168.8791902,Flight
977,Law,Howard,Meteorology,Staff,2020-11-13,Helsinki,279.3243444,Flight
2581,Jones,Stephen,Meteorology,Staff,2020-11-14,Prague,7.90297665,Train
543,Burnette,Amy,Meteorology,Student,2020-11-14,Paris,56.23458,Flight
394,Miller,Dominique,Meteorology,Student,2020-11-14,Lisbon,13.23017905,Train
581,Squires,Yolanda,Computer Science,Staff,2020-11-14,Prague,157.2156132,Flight
1506,Blakeman,Brian,Computer Science,Staff,2020-11-14,LA,2652,Flight
3090,Marshall,Becky,Meteorology,Staff,2020-11-14,Jakarta,3544,Flight
294,Mills,Lisa,Mathematics and Statistics,Staff,2020-11-15,Oslo,12.54779905,Train
3452,Barnes,Petra,Meteorology,Student,2020-11-15,Luxembourg,4.98809905,Train
3829,Reitano,Michael,Computer Science,Staff,2020-11-15,Copenhagen,9.34105905,Train
591,Hayden,Howard,Mathematics and Statistics,Staff,2020-11-15,Zurich,119.0377572,Flight
4202,Bremer,Tom,Meteorology,Student,2020-11-15,Lisbon,13.23017905,Train
4958,Gunia,Linda,Mathematics and Statistics,Student,2020-11-15,Cologne,4.88609885,Train
1489,Gonyea,Edwin,Mathematics and Statistics,Staff,2020-11-16,Madrid,10.66121905,Train
2638,Tracy,Carol,Meteorology,Staff,2020-11-16,Warsaw,9.58867825,Train
3905,Shae,Raymond,Meteorology,Staff,2020-11-16,Rome,10.31333905,Train
3670,Lawrence,John,Mathematics and Statistics,Student,2020-11-17,Copenhagen,9.34105905,Train
1095,Mcwhirter,Ellen,Mathematics and Statistics,Student,2020-11-17,Rotterdam,4.40548925,Train
2461,Hogan,Shavonne,Computer Science,Staff,2020-11-17,Madrid,191.3733168,Flight
4058,Wallace,Christina,Meteorology,Staff,2020-11-17,Prague,7.90297665,Train
2781,Fung,Matthew,Meteorology,Staff,2020-11-17,Paris,4.34139905,Train
4491,Rybka,Donald,Meteorology,Staff,2020-11-17,Rotterdam,4.40548925,Train
4527,Schmitz,Ruth,Computer Science,Student,2020-11-17,Nanjing,2820,Flight
991,Washington,Lloyd,Computer Science,Staff,2020-11-18,Cologne,4.88609885,Train
2214,Nesbitt,Jacalyn,Mathematics and Statistics,Staff,2020-11-18,Rome,221.2103382,Flight
233,Carpenter,Arthur,Mathematics and Statistics,Student,2020-11-18,Copenhagen,147.5835576,Flight
1220,Clardy,Howard,Computer Science,Student,2020-11-18,Luxembourg,4.98809905,Train
656,Watson,Frank,Mathematics and Statistics,Staff,2020-11-18,Paris,4.34139905,Train
469,Waddell,Ilene,Meteorology,Staff,2020-11-19,Jakarta,3544,Flight
4693,Wood,Roxanne,Meteorology,Staff,2020-11-19,Amsterdam,4.91227905,Train
1090,Torres,Edward,Meteorology,Student,2020-11-19,Amsterdam,4.91227905,Train
369,Davis,Louis,Meteorology,Staff,2020-11-19,Cape Town,2893,Flight
2914,Martin,Shannon,Meteorology,Staff,2020-11-19,Cologne,79.9764342,Flight
3610,Hasberry,Gerald,Meteorology,Student,2020-11-19,Oslo,12.54779905,Train
1915,Veenstra,James,Meteorology,Student,2020-11-20,Denver,2254,Flight
3807,Stokes,Kelsey,Computer Science,Student,2020-11-20,Amsterdam,55.1004198,Flight
4274,Vinson,Tina,Computer Science,Student,2020-11-20,Rotterdam,55.1004198,Flight
1256,Johanson,Carol,Mathematics and Statistics,Student,2020-11-20,Vaduz,7.80235905,Train
3326,Lawhorn,Ernest,Meteorology,Staff,2020-11-21,Berlin,7.68193905,Train
4666,Trexler,Dennis,Meteorology,Student,2020-11-21,Vienna,192.2462124,Flight
3365,Keen,Jose,Computer Science,Staff,2020-11-21,Milan,7.89918565,Train
4417,Vaughn,Gerald,Meteorology,Staff,2020-11-21,Monaco,8.73449905,Train
3779,Bennett,Janet,Meteorology,Staff,2020-11-21,Berlin,144.5163414,Flight
2829,Nelson,Minnie,Computer Science,Staff,2020-11-21,Milan,7.89918565,Train
817,Nye,Marianne,Mathematics and Statistics,Staff,2020-11-21,Kigali,1976,Flight
1483,Wynn,Donna,Mathematics and Statistics,Student,2020-11-22,Dublin,72.5432298,Flight
4089,Niemczyk,Kellye,Meteorology,Staff,2020-11-22,Kigali,1976,Flight
2524,Zebell,Jeremiah,Meteorology,Student,2020-11-22,Cape Town,2893,Flight
3651,Caraway,Virginia,Computer Science,Student,2020-11-22,Warsaw,221.6075208,Flight
2872,Graves,Dennis,Mathematics and Statistics,Student,2020-11-22,Belgrade,11.43230845,Train
2675,Rocha,John,Mathematics and Statistics,Student,2020-11-23,LA,2652,Flight
463,Laverdiere,Walter,Meteorology,Student,2020-11-23,Cologne,4.88609885,Train
381,Rankin,Judith,Meteorology,Student,2020-11-24,Lisbon,13.23017905,Train
1761,Estrada,Patricia,Meteorology,Staff,2020-11-24,Budapest,10.00140665,Train
4328,Anderson,Bea,Mathematics and Statistics,Staff,2020-11-24,Zurich,6.76946765,Train
2324,Heins,Paul,Meteorology,Staff,2020-11-24,Accra,1494,Flight
615,Dumire,Arthur,Meteorology,Staff,2020-11-24,Monaco,8.73449905,Train
3644,Muto,Donn,Mathematics and Statistics,Student,2020-11-24,Nanjing,2820,Flight
2355,Vaillancourt,Evelia,Meteorology,Staff,2020-11-25,Paris,4.34139905,Train
3978,Kinard,Steven,Walker Institute,Staff,2020-11-25,Amsterdam,4.91227905,Train
4461,Brice,Margot,Walker Institute,Student,2020-11-25,Andorra La Vella,168.8791902,Flight
3013,Vinciguerra,David,Mathematics and Statistics,Student,2020-11-25,Rome,10.31333905,Train
1831,Lu,Delcie,Mathematics and Statistics,Student,2020-11-26,Belgrade,256.8752214,Flight
2563,Williamson,Diane,Meteorology,Staff,2020-11-26,Vaduz,141.8297316,Flight
1107,Romo,Vernon,Computer Science,Staff,2020-11-26,Prague,7.90297665,Train
3621,Dolecki,Ricky,Mathematics and Statistics,Student,2020-11-26,Rome,10.31333905,Train
3581,Fung,Matthew,Meteorology,Staff,2020-11-27,Vaduz,141.8297316,Flight
3381,Oliver,Steven,Meteorology,Student,2020-11-27,Monaco,158.0826528,Flight
1409,Rozon,Fred,Meteorology,Staff,2020-11-27,Budapest,224.7109818,Flight
3304,Southern,Norma,Meteorology,Staff,2020-11-27,Warsaw,221.6075208,Flight
2228,Mcveigh,Anthony,Meteorology,Staff,2020-11-27,Monaco,158.0826528,Flight
649,Keen,Jose,Computer Science,Staff,2020-11-27,Rotterdam,4.40548925,Train
2791,Duhamel,Dorthy,Meteorology,Staff,2020-11-28,Monaco,8.73449905,Train
737,Altenburg,Brad,Meteorology,Staff,2020-11-28,Rotterdam,55.1004198,Flight
56,Pharis,Howard,Meteorology,Staff,2020-11-29,Sydney,5063,Flight
138,Vivier,Fred,Meteorology,Student,2020-11-29,Jakarta,3544,Flight
4554,Husted,Estelle,Meteorology,Student,2020-11-29,LA,2652,Flight
3554,Lawrence,John,Mathematics and Statistics,Student,2020-11-29,Luxembourg,4.98809905,Train
4550,Bragg,Louis,Meteorology,Student,2020-11-29,Prague,7.90297665,Train
335,Urbanek,Jack,Meteorology,Student,2020-11-29,Oslo,182.4827694,Flight
1270,Rubio,Robert,Meteorology,Student,2020-11-29,Rotterdam,55.1004198,Flight
4770,Perez,Cesar,Mathematics and Statistics,Staff,2020-11-30,Luxembourg,77.173503,Flight
711,Watson,Frank,Mathematics and Statistics,Staff,2020-11-30,Berlin,144.5163414,Flight
4105,Willis,Gerald,Mathematics and Statistics,Staff,2020-12-01,Copenhagen,9.34105905,Train
237,Castellanos,Mary,Mathematics and Statistics,Student,2020-12-01,Monaco,8.73449905,Train
45,Duque,Robert,Computer Science,Staff,2020-12-01,New York,1687,Flight
537,Denn,Errol,Meteorology,Staff,2020-12-01,Amsterdam,4.91227905,Train
1386,Reese,Roberta,Meteorology,Staff,2020-12-01,Madrid,191.3733168,Flight
1412,Hasberry,Gerald,Meteorology,Student,2020-12-02,Cape Town,2893,Flight
4264,Vinson,Tina,Computer Science,Student,2020-12-02,Brussels,52.1993256,Flight
